Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:33.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74401E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 -------- Mode No.   8  (freq = 0.11589E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000046
 0.0500	-0.000008	-0.000318	-0.000001	-0.000058	-0.000091
 0.0750	 	 	 	 	-0.000174
 0.1000	-0.000035	-0.000780	-0.000006	-0.000145	-0.000258
 0.1250	 	 	 	 	-0.000460
 0.1500	-0.000086	-0.001306	-0.000016	-0.000239	-0.000670
 0.1750	 	 	 	 	-0.000979
 0.2000	-0.000157	-0.001633	-0.000029	-0.000291	-0.001316
 0.2250	 	 	 	 	-0.003728
 0.2500	-0.000239	-0.001773	-0.000043	-0.000294	-0.006353
 0.2750	 	 	 	 	-0.009711
 0.3000	-0.000322	-0.001670	-0.000056	-0.000241	-0.013302
 0.3250	 	 	 	 	-0.017392
 0.3500	-0.000396	-0.001441	-0.000065	-0.000155	-0.021679
 0.3750	 	 	 	 	-0.026735
 0.4000	-0.000459	-0.001235	-0.000070	-0.000066	-0.031908
 0.4250	 	 	 	 	-0.037107
 0.4500	-0.000517	-0.001233	-0.000072	 0.000004	-0.042362
 0.4750	 	 	 	 	-0.048822
 0.5000	-0.000585	-0.001684	-0.000071	 0.000030	-0.055217
 0.5250	 	 	 	 	-0.062771
 0.5500	-0.000691	-0.002804	-0.000070	-0.000006	-0.070109
 0.5750	 	 	 	 	-0.079195
 0.6000	-0.000867	-0.004548	-0.000072	-0.000077	-0.087918
 0.6250	 	 	 	 	-0.099130
 0.6500	-0.001132	-0.006382	-0.000077	-0.000123	-0.109861
 0.6750	 	 	 	 	-0.124297
 0.7000	-0.001465	-0.007242	-0.000083	-0.000076	-0.138123
 0.7250	 	 	 	 	-0.155791
 0.7500	-0.001787	-0.005979	-0.000082	 0.000097	-0.172576
 0.7750	 	 	 	 	-0.193549
 0.8000	-0.002007	-0.003256	-0.000072	 0.000329	-0.212927
 0.8250	 	 	 	 	-0.238563
 0.8500	-0.002097	-0.000929	-0.000051	 0.000541	-0.261069
 0.8750	 	 	 	 	-0.284561
 0.9000	-0.002128	-0.000820	-0.000022	 0.000655	-0.303017
 0.9250	 	 	 	 	-0.322128
 0.9500	-0.002206	-0.002412	 0.000011	 0.000707	-0.334628
 0.9750	 	 	 	 	-0.355952
 1.0000	-0.002365	-0.003641	 0.000046	 0.000739	-0.363151


 -------- Mode No.   9  (freq = 0.12695E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000813
 0.0500	 0.000107	 0.004243	 0.000013	 0.000519	-0.001624
 0.0750	 	 	 	 	-0.003106
 0.1000	 0.000449	 0.009583	 0.000058	 0.001299	-0.004565
 0.1250	 	 	 	 	-0.007918
 0.1500	 0.001026	 0.013762	 0.000137	 0.001871	-0.011106
 0.1750	 	 	 	 	-0.015174
 0.2000	 0.001689	 0.013202	 0.000226	 0.001709	-0.018739
 0.2250	 	 	 	 	-0.038383
 0.2500	 0.002158	 0.005641	 0.000279	 0.000428	-0.053631
 0.2750	 	 	 	 	-0.065868
 0.3000	 0.002114	-0.007816	 0.000251	-0.001638	-0.072086
 0.3250	 	 	 	 	-0.072597
 0.3500	 0.001365	-0.023016	 0.000120	-0.003734	-0.067771
 0.3750	 	 	 	 	-0.057504
 0.4000	-0.000054	-0.035013	-0.000097	-0.005097	-0.044238
 0.4250	 	 	 	 	-0.030116
