Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:32.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.33835E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 -------- Mode No.   5  (freq = 0.91874E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	-0.002266	-0.085526	 0.000000	 0.000000	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	-0.008150	-0.144413	 0.000000	 0.000000	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	-0.016241	-0.173783	 0.000000	 0.000000	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	-0.025019	-0.172186	 0.000000	 0.000000	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	-0.032944	-0.140389	 0.000000	 0.000000	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	-0.038584	-0.081949	 0.000000	 0.000000	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	-0.040758	-0.003374	 0.000000	 0.000000	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	-0.038685	 0.086064	 0.000000	 0.000000	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	-0.032100	 0.175030	 0.000000	 0.000000	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	-0.021341	 0.251122	 0.000000	 0.000000	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	-0.007361	 0.302257	 0.000000	 0.000000	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.008322	 0.318317	 0.000000	 0.000000	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.023772	 0.292839	 0.000000	 0.000000	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.036852	 0.224435	 0.000000	 0.000000	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.045512	 0.118004	 0.000000	 0.000000	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.048118	-0.014842	 0.000000	 0.000000	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.043766	-0.156809	 0.000000	 0.000000	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.032536	-0.286295	 0.000000	 0.000000	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.015644	-0.379887	 0.000000	 0.000000	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	-0.004541	-0.415650	 0.000000	 0.000000	 0.000000


 -------- Mode No.   6  (freq = 0.91876E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
